GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 25.06 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,GESAMT Bestätigte ZAHL der Infektionsfälle (Crowdsourced) inc. Epidemiological,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1) Berechtigte,7-Tage Infektionen pro 100.000 Einwohner,Zwischenstand Geprüft,An COVID-19 gestorben,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),RKI Fälle,RKI Genesen,Tests,Cases inc. Epidemiological,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,RKI CHeck,Geschätzt,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Names,Tag vorher,Tag (noch nicht geupdated),Unnamed: 46
Fürstenfeldbruck,Landkreis,9179,909,0%,909,,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/, 909,22/06/2020 00:00, 909,868.0,,,,35.0,,https://www.lra-ffb.de/aktuelles/aktuelles/news/corona-aktuelle-zahlen-zu-infizierten-genesenen-und-verstorbenen-im-landkreis-stand-16062020/,,0,,,"0,5",0,,868.0,909,35.0,907,868,,,,,,,"0,99779978",868.0,868.0,35.0,22/06/2020,9,0,https://www.lra-ffb.de/aktuelles/aktuelles/news/corona-aktuelle-zahlen-zu-infizierten-genesenen-und-verstorbenen-im-landkreis-stand-16062020/,908,909,1
Fürth,Kreisfreie Stadt,9563,413,0%,413,,https://www.fuerth.de/Home/Leben-in-Fuerth/coronavirus.aspx, 413,23/06/2020 00:00, 413,366.0, 28,,,38.0,24/06/2020,https://corona-fallzahlen.landkreis-fuerth.de/kosy/public/default-db/clients/CO/dashboards/OEFF_ST_COR_001,@vitavonni,0,,,"3,9",0,,360.0,408,38.0,350,305,,,,,,,"1,016949153",366.0,360.0,38.0,23/06/2020,9,1,https://corona-fallzahlen.landkreis-fuerth.de/kosy/public/default-db/clients/CO/dashboards/OEFF_ST_COR_001,408,407,-1
Fürth,Landkreis,9573,494,0%,494,,https://corona-fallzahlen.landkreis-fuerth.de/kosy/public/default-db/clients/CO/dashboards/OEFF_LK_COR_001, 494,23/06/2020 00:00, 494,434.0, 2,,,58.0,24/06/2020,https://corona-fallzahlen.landkreis-fuerth.de/kosy/public/default-db/clients/CO/dashboards/OEFF_LK_COR_001,@vitavonni,0,,,"0,9",0,,434.0,494,58.0,431,375,,,,,,,"1,009738192",434.0,434.0,58.0,23/06/2020,9,0,https://corona-fallzahlen.landkreis-fuerth.de/kosy/public/default-db/clients/CO/dashboards/OEFF_LK_COR_001,493,494,1
Garmisch-Partenkirchen,Landkreis,9180,353,0%,353,,http://coronagap.de/, 353,23/06/2020 00:00, 353,335.0,,,,16.0,,http://coronagap.de/?page_id=2622,,0,,,"0,0",0,,335.0,353,16.0,293,275,,,,,,,"1,011125418",335.0,335.0,16.0,23.06.2020 00:00,9,0,http://coronagap.de/?page_id=2622,353,353,0
Günzburg,Landkreis,9774,238,0%,238,,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19/aktuelle-fallzahlen, 238,23/06/2020 00:00, 238,233.0, 62,,,4.0,24.6.2020 14:30,https://www.landkreis-guenzburg.de/covid-19/aktuelle-fallzahlen,@vitavonni,0,,,"0,8",0,,233.0,238,4.0,238,234,,,,,,,"0,9957264957",233.0,233.0,4.0,23/06/2020,9,0,https://www.landkreis-guenzburg.de/covid-19/aktuelle-fallzahlen,237,237,0
Haßberge,Landkreis,9674,165,0%,165,,https://www.hassberge.de/aktuelles.html, 165,23/06/2020 12:00, 165,155.0, 25,,,6.0,24.6.2020,https://www.hassberge.de/aktuelles.html,@vitavonni,0,,,"3,5",0,,155.0,167,6.0,167,157,,,,,,,"0,9992279483",155.0,155.0,6.0,23/06/2020,9,1,https://www.hassberge.de/topmenu/startseite/news-ansicht.html?tx_news_pi1%5Bnews%5D=1774&cHash=a2547d77f595faa9c4388ee446a771be,162,163,1
Hof,Kreisfreie Stadt,9464,142,0%,142,,https://www.landkreis-hof.de/coronavirus-wir-informieren/, 142,20/06/2020 00:00, 142,138.0,,,,4.0,20/06/2020,https://www.landkreis-hof.de/coronavirus-wir-informieren/,,0,,,"0,0",0,,138.0,142,4.0,142,138,,,,,,,1,138.0,138.0,4.0,20.06.2020,9,0,https://www.landkreis-hof.de/coronavirus-wir-informieren/,142,142,0
Hof,Landkreis,9475,426,0%,426,,https://www.landkreis-hof.de/coronavirus-wir-informieren/, 426,20/06/2020 00:00, 426,394.0,,,,32.0,20/06/2020,https://www.landkreis-hof.de/coronavirus-wir-informieren/,,0,,,"0,0",0,,394.0,426,32.0,426,394,,,,,,,1,394.0,394.0,32.0,20.06.2020,9,0,https://www.landkreis-hof.de/coronavirus-wir-informieren/,426,426,0
Ingolstadt,Kreisfreie Stadt,9161,479,0%,479,,https://www.ingolstadt.de/Leben/Gesundheit/Infektionsschutz-Reisemedizin/Corona, 480,23/06/2020 14:30, 480,425.0,,11.0,4.0,37.0,24.6.2020 14:30,"https://www.ingolstadt.de/Rathaus/Aktuelles/Aktuelle-Meldungen/index.php?La=1&object=tx,3052.13907.1&kat=&kuo=2&sub=0",@vitavonni, 1,,,"5,1",0,,396.0,474,37.0,478,428,,,,,,,"0,9888531931",425.0,396.0,37.0,23/06/2020,9,1,"https://www.ingolstadt.de/Rathaus/Aktuelles/Aktuelle-Meldungen/Newsticker-Coronavirus/Entwicklung-lokaler-Zahlen-Corona.php?object=tx,2789.5&ModID=7&FID=2789.18908.1&NavID=3052.251&La=1",472,472,0
Kaufbeuren,Kreisfreie Stadt,9762,111,0%,111,,https://www.landkreis-ostallgaeu.de/aktuelles.html, 111,22/06/2020 00:00, 111,106.0,,,,5.0,,https://www.touvia.de/mapapi.html?cn=oal&sidebar&sb_no_search&color=0C4A94&no_clusterer&no_details&data_source=oal-covid-19&m=topplusopen&mf=g100!o45!c70!b125&zl=9!12,,0,,,"0,0",0,,106.0,111,5.0,111,106,,,,,,,1,106.0,106.0,5.0,22.06.2020,9,0,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,111,110,-1
Kelheim,Landkreis,9273,454,0%,454,,https://www.landkreis-kelheim.de/amt-service/coronavirus/, 454,23/06/2020 00:00, 454,417.0,,,,34.0,,https://www.landkreis-kelheim.de/amt-service/meldungen/aktuelle-corona-lage-dienstag-den-23062020/,,0,,,"2,5",0,,417.0,453,34.0,452,413,,,,,,,"1,005237277",417.0,417.0,34.0,23/06/2020,9,1,https://www.landkreis-kelheim.de/amt-service/meldungen/aktuelle-lage-zum-coronavirus-mittwoch-17062020/,451,453,2
Kempten (Allgäu),Kreisfreie Stadt,9763,105,0%,105,,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html, 105,23/06/2020 00:00, 105,93.0,,,,10.0,,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,,0,,,"2,9",0,,93.0,103,10.0,102,92,,,,,,,"0,9819875776",93.0,93.0,10.0,23.06.2020,9,1,https://www.oberallgaeu.org/de/news/detail/corona:-newsticker-oberallgaeu.html,103,103,0
Kitzingen,Landkreis,9675,191,0%,191,,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/, 191,17/06/2020 00:00, 191,188.0, 1,,,3.0,17/06/2020,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/,,0,,,"0,0",0,,188.0,191,3.0,191,188,,,,,,,1,188.0,188.0,3.0,17/06/2020,9,0,https://www.kitzingen.de/buergerservice/aktuelles/aktuelles-2020/uebersichtsseite-corona/,191,191,0
Kronach,Landkreis,9476,168,0%,168,,https://www.landkreis-kronach.de/aktuelles/coronavirus/, 168,23/06/2020 00:00, 168,161.0, 4,,,3.0,,https://www.landkreis-kronach.de/aktuelles/coronavirus/23062020-corona-tagesstatistik/,,0,,,"1,5",0,,161.0,167,3.0,168,162,,,,,,,"0,9938271605",161.0,161.0,3.0,23.06.2020,9,1,https://www.landkreis-kronach.de/aktuelles/meldungen/aktuelle-informationen-zur-coronavirus-pandemie/,167,167,0
Kulmbach,Landkreis,9477,246,0%,246,,https://www.landkreis-kulmbach.de/landratsamt-kulmbach/pressebereich/coronavirus/aktuelles/aktuelle-pressemitteilungen-fuer-den-landkreis-kulmbach/, 246,23/06/2020 00:00, 246,234.0,,0.0,0.0,11.0,,https://www.landkreis-kulmbach.de/landratsamt-kulmbach/pressebereich/coronavirus/,,0,,,"0,0",0,,234.0,246,11.0,244,233,,,,,,,"0,9961268711",234.0,234.0,11.0,23/06/2020,9,0,https://www.landkreis-kulmbach.de/landratsamt-kulmbach/pressebereich/coronavirus/,246,246,0
Landsberg am Lech,Landkreis,9181,365,0%,365,,https://www.landkreis-landsberg.de/aktuelles/pressemitteilungen/corona-virus/, 365,23/06/2020 10:00, 365,352.0, 3,,,10.0,,https://www.landkreis-landsberg.de/aktuelles/fragen-antworten-zu-corona/,,0,,,"1,7",0,,352.0,365,10.0,365,352,,,,,,https://www.facebook.com/landkreislandsbergamlech/,1,352.0,352.0,10.0,23.06.2020,9,0,https://www.landkreis-landsberg.de/aktuelles/fragen-antworten-zu-corona/,363,365,2
