GEN,BEZ,Coronavirus Infektionen / Coronavirus Cases,Main Source / Hauptquelle,Crowdsourced Infektionen,Genesen,Quarantine,Nothilfe (Stationär/Intensiv),Todesfälle,"Zeit (Datum, Uhrzeit) (Man kann =JETZT() oder =NOW() benutzen",Unnamed: 10,Contributor,Crowdsourced Infektionen.1,Zeit,Main Source / Hauptquelle.1,Contributor.1,Crowdsourced Infektionen.2,Zeit.1,Main Source / Hauptquelle.2,Contributor.2
Merzig-Wadern,Landkreis,10,"https://www.merzig-wadern.de/Kurzmen%C3%BC/Startseite/-Newsticker-zum-Coronavirus-.php?object=tx,2875.5&ModID=7&FID=2875.1724.1&NavID=1918.1",10,,,,,,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Neue%20bestätigte%20Coronafälle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%20(18.%20März)/,,,,,,,,,
Mettmann,Kreis,62,https://www.kreis-mettmann.de/,87,,,,,18/03/2020 14:00,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,
Miesbach,Landkreis,32,https://www.landkreis-miesbach.de/B%C3%BCrgerservice/Aktuelles/Coronavirus,32,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Miltenberg,Landkreis,5,"https://www.miltenberg.de/#/de/stadt-miltenberg/default/search/Event/city%3A%22Miltenberg%22/view:list/sort:chronological/mode:next_days,3/calView:month",15,,,,,18/03/2020 20:00,https://www.landkreis-miltenberg.de/Landkreis/Aktuell/Pressearchiv.aspx?orgid={3174651E-8A75-4EDC-8D54-74BBBE9CF8F0},,,,,,,,,
Minden-Lübbecke,Kreis,87,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2994.1&NavID=2832.1,87,,,,,,https://www.minden-luebbecke.de/Startseite/index.php?object=tx%7c2832.14.1&FID=2832.2995.1&NavID=2832.1,,,,,,,,,
Mittelsachsen,Landkreis,6,https://www.landkreis-mittelsachsen.de/corona,13,,,,,18/03/2020 18:00,https://www.landkreis-mittelsachsen.de/corona.html,@ruboerner,,,,,,,,
Mönchengladbach,Kreisfreie Stadt,44,http://www.notfallmg.de/de/,46,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,
Mühldorf a. Inn,Landkreis,1,https://www.lra-mue.de/buergerservice.html,5,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Mülheim an der Ruhr,Kreisfreie Stadt,16,https://www.muelheim-ruhr.de/cms/fragen_und_antworten_zum_corona-virus.html?fuid=aefaab3fc99d3b0c1b5547a1c0512a83#aktuell,21,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,
München,Kreisfreie Stadt,359,https://www.muenchen.de/aktuell/2020-03/coronavirus-muenchen-infektion-aktueller-stand.html,509,,,,,,,,,,,,,,,
München,Landkreis,83,https://www.landkreis-muenchen.de/themen/verbraucherschutz-gesundheit/gesundheit/coronavirus/,123,,,,,,,,,,,,,,,
Münster,Kreisfreie Stadt,103,https://www.muenster.de/,135,,,,,18/03/2020 13:00,https://www.muenster.de/,,,,,,,,,
Neckar-Odenwald-Kreis,Landkreis,13,https://www.neckar-odenwald-kreis.de/Aktuelle+Themen/Neuigkeiten/___AKTUELLES+UPDATE+%2816_3_2020+um+17_00+Uhr%29___+Informationen+zu+dem+neuartigen+Coronavirus+%28SARS_CoV_2%29-p-5726.html,13,,,,,,,,,,,,,,,
Neu-Ulm,Landkreis,10,https://landkreis.neu-ulm.de/de/aktuelle-mitteilungen.html,17,,,,,18/03/2020 20:40,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,,,,,,,,,
Neuburg-Schrobenhausen,Landkreis,3,https://neuburg-schrobenhausen.de/informationen-zum-coronavirus?suche=,3,,,,,,,,,,,,,,,
